Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Global,5979990,1534384801000,1569896,3917708,-715475,938422,1195373,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,6734652,1534406401000,1493148,3655844,0,786268,1137130,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,6734652,1534406401000,1493148,3655844,-921127,786268,1137130,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,7863533,1534428001000,1399199,3309927,0,559757,1031489,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,7863533,1534428001000,1399199,3309927,-1277989,559757,1031489,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,8560378,1534449599000,1317938,3070595,0,436290,983087,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,8560378,1534449599000,1317938,3070595,-1482372,436290,983087,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,8811097,1534471200000,1241201,3027317,0,387165,973262,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,8811097,1534471200000,1241201,3027317,-1554125,387165,973262,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,9572684,1534492800000,1158802,2900821,0,250827,870682,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,9572684,1534492800000,1158802,2900821,-1867898,250827,870682,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,10549106,1534514400000,1046027,2707066,0,44111,799500,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,10549106,1534514400000,1046027,2707066,-2259891,44111,799500,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,11220337,1534536000000,968568,2595264,0,0,721280,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,11220337,1534536000000,968568,2595264,-2487041,-132488,721280,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
