Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
597,392038,2900000,1534272798000,0.0022,0.00152,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
621,406272,3000000,1534275826000,0.00169,0.00153,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
663,420773,3100000,1534279185000,0.0029,0.00158,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
693,435113,3200000,1534284970000,0.00209,0.00159,0.986,2.96e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
759,456179,3300000,1534301374000,0.00313,0.00166,0.982,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
821,477706,3400000,1534307392000,0.00288,0.00172,0.982,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
853,491728,3500000,1534310553000,0.00228,0.00173,0.985,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
868,507485,3600000,1534313223000,0.000952,0.00171,0.982,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
882,522633,3700000,1534315472000,0.000924,0.00169,0.98,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
890,537245,3800000,1534317461000,0.000547,0.00166,0.982,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
914,552592,3900000,1534319605000,0.00156,0.00165,0.98,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
929,566805,4000000,1534321811000,0.00106,0.00164,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
941,581163,4100000,1534324066000,0.000836,0.00162,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
965,595268,4200000,1534325982000,0.0017,0.00162,0.978,2.93e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1010,609381,4300000,1534327753000,0.00319,0.00166,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1030,623103,4400000,1534329253000,0.00146,0.00165,0.978,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1050,634328,4500000,1534330607000,0.00178,0.00166,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1078,647222,4600000,1534332371000,0.00217,0.00167,0.985,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1110,660228,4700000,1534334282000,0.00246,0.00168,0.986,2.96e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1140,672813,4800000,1534336223000,0.00238,0.00169,0.989,2.97e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1158,685035,4900000,1534338220000,0.00147,0.00169,0.986,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1184,697782,5000000,1534340324000,0.00204,0.0017,0.982,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1218,710613,5100000,1534342505000,0.00265,0.00171,0.985,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1236,724068,5200000,1534345017000,0.00134,0.00171,0.984,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1255,738762,5300000,1534348283000,0.00129,0.0017,0.991,2.97e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1278,756528,5400000,1534352099000,0.00129,0.00169,0.987,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1310,773647,5500000,1534355823000,0.00187,0.00169,0.989,2.97e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1345,790445,5600000,1534359354000,0.00208,0.0017,0.985,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1384,806671,5700000,1534362421000,0.0024,0.00172,0.985,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1423,824044,5800000,1534365625000,0.00224,0.00173,0.99,2.97e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1449,841619,5900000,1534370861000,0.00148,0.00172,0.987,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
1505,860486,6000000,1534387000000,0.00297,0.00175,0.981,2.94e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
