Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
344,277339,2100000,1534250381000,0.000596,0.00124,0.99,2.97e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
365,290042,2200000,1534252487000,0.00165,0.00126,0.981,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
390,302220,2300000,1534254861000,0.00205,0.00129,0.985,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
406,314581,2400000,1534257558000,0.00129,0.00129,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
421,326967,2500000,1534260327000,0.00121,0.00129,0.979,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
450,340651,2600000,1534263432000,0.00212,0.00132,0.979,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
497,355696,2700000,1534266431000,0.00312,0.0014,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
533,370629,2800000,1534269300000,0.00241,0.00144,0.982,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
556,385181,2900000,1534272798000,0.00158,0.00144,0.98,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
576,399991,3000000,1534275826000,0.00135,0.00144,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
617,414764,3100000,1534279185000,0.00278,0.00149,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
667,431776,3400000,1534307392000,0.00294,0.00154,0.983,2.95e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
711,449310,3500000,1534310553000,0.00251,0.00158,0.984,2.95e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
731,466093,3600000,1534313223000,0.00119,0.00157,0.986,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
