MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart
4.651119213092073e-06,0.0016993605728092003,5190412.0,TS_Lin,0.05,145840,1529528400.0,0.0001,0.02
2.1767373088639105e-05,0.0017102455758580544,5465266.0,TS_Lin,0.05,145840,1529532000.0,0.0001,0.02
7.836918278303011e-05,0.0017102019551816373,5618345.0,TS_Lin,0.05,145840,1529536469.0,0.0001,0.02
1.502573443973406e-05,0.0017122716683831672,5751376.0,TS_Lin,0.05,145840,1529546855.0,0.0001,0.02
4.188823789356711e-05,0.0017131290801260838,5917906.0,TS_Lin,0.05,145840,1529552145.0,0.0001,0.02
3.32838485196938e-05,0.0017030330207697948,6247738.0,TS_Lin,0.05,145840,1529555745.0,0.0001,0.02
8.4011693920557e-06,0.0016840424018189314,6723751.0,TS_Lin,0.05,145840,1529559345.0,0.0001,0.02
6.001927323604991e-06,0.0016679917388910633,7221833.0,TS_Lin,0.05,145840,1529562945.0,0.0001,0.02
9.21518573206424e-06,0.001647178540934332,7764852.0,TS_Lin,0.05,145840,1529566545.0,0.0001,0.02
3.565295242636578e-05,0.001642553288210373,7962042.0,TS_Lin,0.05,145840,1529570145.0,0.0001,0.02
2.447452018895832e-05,0.001638228850206863,8497242.0,TS_Lin,0.05,145840,1529600755.0,0.0001,0.02
5.83211638370046e-05,0.001631451322435587,8827525.0,TS_Lin,0.05,145840,1529628058.0,0.0001,0.02
9.516946946095446e-05,0.0016356060472376471,9098928.0,TS_Lin,0.05,145840,1529741696.0,0.0001,0.02
5.2256567812267375e-05,0.0016447207874847826,9347378.0,TS_Lin,0.05,145840,1529745296.0,0.0001,0.02
2.020403606069388e-05,0.0016538892772917483,9643360.0,TS_Lin,0.05,145840,1529748896.0,0.0001,0.02
4.8838226636261355e-05,0.0016613656516651443,9949341.0,TS_Lin,0.05,145840,1529752496.0,0.0001,0.02
4.5514789194522854e-05,0.0016748865975657738,10255266.0,TS_Lin,0.05,145840,1529756096.0,0.0001,0.02
7.011807012386445e-05,0.001687063364956721,10539235.0,TS_Lin,0.05,145840,1529759696.0,0.0001,0.02
3.6923980912342346e-06,0.001699280521041421,10811189.0,TS_Lin,0.05,145840,1529763296.0,0.0001,0.02
5.808514376350091e-05,0.001711393264429469,11084764.0,TS_Lin,0.05,145840,1529766896.0,0.0001,0.02
1.621957967725116e-05,0.0017212921579008431,11392097.0,TS_Lin,0.05,145840,1529770496.0,0.0001,0.02
4.2958074373819594e-05,0.0017274287948920448,11694042.0,TS_Lin,0.05,145840,1529774096.0,0.0001,0.02
1.2114689461745982e-05,0.001734096148368561,11940459.0,TS_Lin,0.05,145840,1529777696.0,0.0001,0.02
8.633575244453678e-05,0.0017410715957997477,12205934.0,TS_Lin,0.05,145840,1529781296.0,0.0001,0.02
1.3831250449266594e-05,0.0017414430149606547,12422956.0,TS_Lin,0.05,145840,1529784896.0,0.0001,0.02
5.9716484003998835e-05,0.001755288985136774,12756412.0,TS_Lin,0.05,145840,1529788496.0,0.0001,0.02
8.686423546373567e-05,0.0017668769406548952,12985817.0,TS_Lin,0.05,145840,1529792096.0,0.0001,0.02
0.00019320090680068636,0.0017708478323495535,13109312.0,TS_Lin,0.05,145840,1529795696.0,0.0001,0.02
8.34861737906058e-05,0.0017725597958089254,13192896.0,TS_Lin,0.05,145840,1529800661.0,0.0001,0.02
0.00013905530065894266,0.0017763390571081817,13264655.0,TS_Lin,0.05,145840,1529808433.0,0.0001,0.02
0.0003249680896338091,0.00177824615832565,13319973.0,TS_Lin,0.05,145840,1529812666.0,0.0001,0.02
8.582376071541978e-05,0.0017823218198050688,13424774.0,TS_Lin,0.05,145840,1529816266.0,0.0001,0.02
7.026743977753886e-05,0.0017921408978157068,13639012.0,TS_Lin,0.05,145840,1529819866.0,0.0001,0.02
3.729118631497038e-05,0.0018049140746062944,13984856.0,TS_Lin,0.05,145840,1529823466.0,0.0001,0.02
1.7480189227631576e-05,0.0018183853081030674,14383457.0,TS_Lin,0.05,145840,1529827066.0,0.0001,0.02
0.0019045283635876788,0.0019045283635876788,458775.0,TS_Lin,0.05,145840,1529485200.0,0.0001,0.05
2.894247554561377e-05,0.0016928957198008138,907502.0,TS_Lin,0.05,145840,1529488800.0,0.0001,0.05
9.137386524828604e-06,0.0016235529034459263,1454051.0,TS_Lin,0.05,145840,1529492400.0,0.0001,0.05
2.6563292170585912e-05,0.0016132373249910475,1867223.0,TS_Lin,0.05,145840,1529496000.0,0.0001,0.05
1.950842608552721e-05,0.0015913069016233786,2225254.0,TS_Lin,0.05,145840,1529499600.0,0.0001,0.05
1.1459118525509042e-05,0.0015876622774105358,2574843.0,TS_Lin,0.05,145840,1529503200.0,0.0001,0.05
4.8127452797315e-05,0.001622848382725174,2947868.0,TS_Lin,0.05,145840,1529506800.0,0.0001,0.05
5.4423493404647364e-05,0.0016448266397302857,3259547.0,TS_Lin,0.05,145840,1529510400.0,0.0001,0.05
2.274234213952285e-05,0.001663894759841234,3567316.0,TS_Lin,0.05,145840,1529514000.0,0.0001,0.05
3.085203537315236e-06,0.001677973658083018,3891463.0,TS_Lin,0.05,145840,1529517600.0,0.0001,0.05
3.789228826521567e-05,0.0016859633364825427,4284670.0,TS_Lin,0.05,145840,1529521200.0,0.0001,0.05
6.2841206596056304e-06,0.0016948089241461597,4762296.0,TS_Lin,0.05,145840,1529524800.0,0.0001,0.05
4.647980154501364e-06,0.0016993792000916217,5190412.0,TS_Lin,0.05,145840,1529528400.0,0.0001,0.05
