Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
43.0,8546.0,1130000,LinUCB_Disjoint,1531651790.0,0.0031,2.79e+02,0.00307,2.75e+02,12,0.02,0.02,0.1,0.0
43.0,8657.0,1140000,LinUCB_Disjoint,1531657226.0,0.00409,3.69e+02,0.00308,2.76e+02,12,0.02,0.02,0.1,0.0
44.0,8708.0,1150000,LinUCB_Disjoint,1531662211.0,0.00379,3.42e+02,0.00308,2.77e+02,12,0.02,0.02,0.1,0.0
44.0,8816.0,1160000,LinUCB_Disjoint,1531667831.0,0.0033,2.97e+02,0.00308,2.77e+02,12,0.02,0.02,0.1,0.0
45.0,8872.0,1170000,LinUCB_Disjoint,1531673042.0,0.00419,3.78e+02,0.00309,2.78e+02,12,0.02,0.02,0.1,0.0
45.0,8943.0,1180000,LinUCB_Disjoint,1531676924.0,0.00192,1.71e+02,0.00308,2.77e+02,12,0.02,0.02,0.1,0.0
45.0,9037.0,1190000,LinUCB_Disjoint,1531680593.0,0.00251,2.25e+02,0.00308,2.76e+02,12,0.02,0.02,0.1,0.0
45.0,9098.0,1200000,LinUCB_Disjoint,1531683936.0,0.0039,3.51e+02,0.00309,2.77e+02,12,0.02,0.02,0.1,0.0
46.0,9203.0,1210000,LinUCB_Disjoint,1531687517.0,0.0032,2.88e+02,0.00309,2.77e+02,12,0.02,0.02,0.1,0.0
46.0,9275.0,1220000,LinUCB_Disjoint,1531692173.0,0.00271,2.43e+02,0.00308,2.77e+02,12,0.02,0.02,0.1,0.0
46.0,9314.0,1230000,LinUCB_Disjoint,1531712219.0,0.0037,3.33e+02,0.00309,2.77e+02,12,0.02,0.02,0.1,0.0
46.0,9377.0,1240000,LinUCB_Disjoint,1531717912.0,0.00261,2.34e+02,0.00308,2.77e+02,12,0.02,0.02,0.1,0.0
46.0,9522.0,1250000,LinUCB_Disjoint,1531722233.0,0.00192,1.71e+02,0.00308,2.76e+02,12,0.02,0.02,0.1,0.0
46.0,9599.0,1260000,LinUCB_Disjoint,1531726765.0,0.003,2.7e+02,0.00307,2.76e+02,12,0.02,0.02,0.1,0.0
47.0,9691.0,1270000,LinUCB_Disjoint,1531731881.0,0.00291,2.61e+02,0.00307,2.76e+02,12,0.02,0.02,0.1,0.0
47.0,9771.0,1280000,LinUCB_Disjoint,1531736623.0,0.00359,3.24e+02,0.00308,2.76e+02,12,0.02,0.02,0.1,0.0
47.0,9858.0,1290000,LinUCB_Disjoint,1531739901.0,0.0034,3.06e+02,0.00308,2.77e+02,12,0.02,0.02,0.1,0.0
49.0,9942.0,1300000,LinUCB_Disjoint,1531744511.0,0.0033,2.97e+02,0.00308,2.77e+02,12,0.02,0.02,0.1,0.0
50.0,10031.0,1310000,LinUCB_Disjoint,1531748850.0,0.00399,3.6e+02,0.00309,2.77e+02,12,0.02,0.02,0.1,0.0
50.0,10123.0,1320000,LinUCB_Disjoint,1531753220.0,0.00379,3.42e+02,0.00309,2.78e+02,12,0.02,0.02,0.1,0.0
51.0,10201.0,1330000,LinUCB_Disjoint,1531757647.0,0.00389,3.51e+02,0.0031,2.78e+02,12,0.02,0.02,0.1,0.0
51.0,10277.0,1340000,LinUCB_Disjoint,1531761797.0,0.003,2.7e+02,0.0031,2.78e+02,12,0.02,0.02,0.1,0.0
51.0,10339.0,1350000,LinUCB_Disjoint,1531765591.0,0.0033,2.97e+02,0.0031,2.79e+02,12,0.02,0.02,0.1,0.0
51.0,10408.0,1360000,LinUCB_Disjoint,1531769214.0,0.0031,2.79e+02,0.0031,2.79e+02,12,0.02,0.02,0.1,0.0
51.0,10504.0,1370000,LinUCB_Disjoint,1531772801.0,0.0035,3.15e+02,0.0031,2.79e+02,12,0.02,0.02,0.1,0.0
51.0,10588.0,1380000,LinUCB_Disjoint,1531776637.0,0.00459,4.14e+02,0.00311,2.8e+02,12,0.02,0.02,0.1,0.0
51.0,10682.0,1390000,LinUCB_Disjoint,1531791298.0,0.00222,1.98e+02,0.00311,2.79e+02,12,0.02,0.02,0.1,0.0
51.0,10739.0,1400000,LinUCB_Disjoint,1531802711.0,0.00448,4.05e+02,0.00312,2.8e+02,12,0.02,0.02,0.1,0.0
51.0,10911.0,1410000,LinUCB_Disjoint,1531807351.0,0.00202,1.8e+02,0.00311,2.79e+02,12,0.02,0.02,0.1,0.0
51.0,10984.0,1420000,LinUCB_Disjoint,1531812163.0,0.00271,2.43e+02,0.00311,2.79e+02,12,0.02,0.02,0.1,0.0
51.0,11071.0,1430000,LinUCB_Disjoint,1531817738.0,0.003,2.7e+02,0.00311,2.79e+02,12,0.02,0.02,0.1,0.0
51.0,11148.0,1440000,LinUCB_Disjoint,1531822912.0,0.00231,2.07e+02,0.0031,2.79e+02,12,0.02,0.02,0.1,0.0
52.0,11282.0,1450000,LinUCB_Disjoint,1531826615.0,0.00182,1.62e+02,0.00309,2.78e+02,12,0.02,0.02,0.1,0.0
52.0,11429.0,1460000,LinUCB_Disjoint,1531831699.0,0.0034,3.06e+02,0.00309,2.78e+02,12,0.02,0.02,0.1,0.0
53.0,11529.0,1470000,LinUCB_Disjoint,1531837226.0,0.0034,3.06e+02,0.0031,2.78e+02,12,0.02,0.02,0.1,0.0
53.0,11697.0,1480000,LinUCB_Disjoint,1531841422.0,0.00261,2.34e+02,0.00309,2.78e+02,12,0.02,0.02,0.1,0.0
53.0,11794.0,1490000,LinUCB_Disjoint,1531846169.0,0.00369,3.33e+02,0.0031,2.78e+02,12,0.02,0.02,0.1,0.0
54.0,11900.0,1500000,LinUCB_Disjoint,1531850755.0,0.0034,3.06e+02,0.0031,2.78e+02,12,0.02,0.02,0.1,0.0
55.0,11984.0,1510000,LinUCB_Disjoint,1531855123.0,0.0035,3.15e+02,0.0031,2.79e+02,12,0.02,0.02,0.1,0.0
56.0,12066.0,1520000,LinUCB_Disjoint,1531858898.0,0.00438,3.96e+02,0.00311,2.79e+02,12,0.02,0.02,0.1,0.0
56.0,12221.0,1530000,LinUCB_Disjoint,1531862514.0,0.00369,3.33e+02,0.00311,2.8e+02,12,0.02,0.02,0.1,0.0
56.0,12313.0,1540000,LinUCB_Disjoint,1531872611.0,0.00271,2.43e+02,0.00311,2.8e+02,12,0.02,0.02,0.1,0.0
56.0,12368.0,1550000,LinUCB_Disjoint,1531888661.0,0.00419,3.78e+02,0.00312,2.8e+02,12,0.02,0.02,0.1,0.0
57.0,12431.0,1560000,LinUCB_Disjoint,1531893557.0,0.0029,2.61e+02,0.00312,2.8e+02,12,0.02,0.02,0.1,0.0
57.0,12501.0,1570000,LinUCB_Disjoint,1531898094.0,0.0034,3.06e+02,0.00312,2.8e+02,12,0.02,0.02,0.1,0.0
57.0,12554.0,1580000,LinUCB_Disjoint,1531903209.0,0.0033,2.97e+02,0.00312,2.8e+02,12,0.02,0.02,0.1,0.0
59.0,12622.0,1590000,LinUCB_Disjoint,1531908894.0,0.003,2.7e+02,0.00312,2.8e+02,12,0.02,0.02,0.1,0.0
60.0,12761.0,1600000,LinUCB_Disjoint,1531912604.0,0.0034,3.06e+02,0.00312,2.8e+02,12,0.02,0.02,0.1,0.0
61.0,12862.0,1610000,LinUCB_Disjoint,1531918564.0,0.0032,2.88e+02,0.00312,2.8e+02,12,0.02,0.02,0.1,0.0
62.0,12972.0,1620000,LinUCB_Disjoint,1531925108.0,0.00409,3.69e+02,0.00313,2.81e+02,12,0.02,0.02,0.1,0.0
64.0,13042.0,1630000,LinUCB_Disjoint,1531930135.0,0.00409,3.69e+02,0.00313,2.82e+02,12,0.02,0.02,0.1,0.0
64.0,13100.0,1640000,LinUCB_Disjoint,1531935250.0,0.00409,3.69e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
65.0,13217.0,1650000,LinUCB_Disjoint,1531940090.0,0.0032,2.88e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
65.0,13290.0,1660000,LinUCB_Disjoint,1531944302.0,0.003,2.7e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
