Clicks,Impressions,TotalImpressions,Method,RecommendationPart,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
59.0,39857.0,2560000,Random,0.02,1529503060.0,0.001,0.02,0.4968,0.4110265626648658
59.0,40049.0,2570000,Random,0.02,1529503154.0,0.001,0.02,0.5045,0.41139027253776517
59.0,40213.0,2580000,Random,0.02,1529503249.0,0.001,0.02,0.5018,0.41174069783800643
59.0,40356.0,2590000,Random,0.02,1529503347.0,0.001,0.02,0.5083,0.4121135136764697
59.0,40471.0,2600000,Random,0.02,1529503444.0,0.001,0.02,0.5058,0.41247384631617556
59.0,40601.0,2610000,Random,0.02,1529503539.0,0.001,0.02,0.4973,0.41279885073642014
59.0,40718.0,2620000,Random,0.02,1529503635.0,0.001,0.02,0.5041,0.4131473284053651
61.0,40866.0,2630000,Random,0.02,1529503729.0,0.001,0.02,0.5077,0.4135068442669416
61.0,40992.0,2640000,Random,0.02,1529503826.0,0.001,0.02,0.5007,0.41383712137199113
62.0,41121.0,2650000,Random,0.02,1529503917.0,0.001,0.02,0.5069,0.41418830204605905
62.0,41253.0,2660000,Random,0.02,1529504012.0,0.001,0.02,0.5111,0.41455263173761525
62.0,41394.0,2670000,Random,0.02,1529504104.0,0.001,0.02,0.5109,0.414913483304141
62.0,41526.0,2680000,Random,0.02,1529504198.0,0.001,0.02,0.4929,0.4152044777694241
62.0,41640.0,2690000,Random,0.02,1529504289.0,0.001,0.02,0.5056,0.415540520602995
62.0,41778.0,2700000,Random,0.02,1529504380.0,0.001,0.02,0.4956,0.4158370371933543
62.0,41908.0,2710000,Random,0.02,1529504474.0,0.001,0.02,0.5056,0.4161682658383972
62.0,42028.0,2720000,Random,0.02,1529504565.0,0.001,0.02,0.491,0.41644338250810903
62.0,42167.0,2730000,Random,0.02,1529504659.0,0.001,0.02,0.5004,0.4167509159055152
64.0,42290.0,2740000,Random,0.02,1529504756.0,0.001,0.02,0.487,0.41700729942410825
65.0,42421.0,2750000,Random,0.02,1529504851.0,0.001,0.02,0.4934,0.417285091062566
65.0,42552.0,2760000,Random,0.02,1529504947.0,0.001,0.02,0.5006,0.41758695667465817
65.0,42661.0,2770000,Random,0.02,1529505043.0,0.001,0.02,0.5035,0.4178971120657244
65.0,42791.0,2780000,Random,0.02,1529505140.0,0.001,0.02,0.4943,0.41817194259786206
68.0,42921.0,2790000,Random,0.02,1529505239.0,0.001,0.02,0.4987,0.41846057362797723
68.0,43043.0,2800000,Random,0.02,1529505335.0,0.001,0.02,0.4894,0.41871392872216306
68.0,43149.0,2810000,Random,0.02,1529505433.0,0.001,0.02,0.4967,0.41899145922493114
69.0,43286.0,2820000,Random,0.02,1529505528.0,0.001,0.02,0.4994,0.4192765958943463
69.0,43401.0,2830000,Random,0.02,1529505625.0,0.001,0.02,0.4897,0.41952544184524965
69.0,43542.0,2840000,Random,0.02,1529505722.0,0.001,0.02,0.5033,0.41982042268382275
69.0,43676.0,2850000,Random,0.02,1529505822.0,0.001,0.02,0.5021,0.42010912295510755
69.0,43824.0,2860000,Random,0.02,1529505920.0,0.001,0.02,0.5029,0.4203986015461736
70.0,43978.0,2870000,Random,0.02,1529506017.0,0.001,0.02,0.5152,0.4207289200076852
70.0,44085.0,2880000,Random,0.02,1529506114.0,0.001,0.02,0.496,0.4209902779243252
70.0,44214.0,2890000,Random,0.02,1529506212.0,0.001,0.02,0.5104,0.4212996541252791
70.0,44357.0,2900000,Random,0.02,1529506309.0,0.001,0.02,0.5039,0.4215844829041574
70.0,44513.0,2910000,Random,0.02,1529506410.0,0.001,0.02,0.5094,0.42188625444056926
70.0,44633.0,2920000,Random,0.02,1529506511.0,0.001,0.02,0.5124,0.42219623302125225
70.0,44744.0,2930000,Random,0.02,1529506613.0,0.001,0.02,0.5031,0.4224723550928521
70.0,44872.0,2940000,Random,0.02,1529506718.0,0.001,0.02,0.5012,0.4227401361979784
70.0,44999.0,2950000,Random,0.02,1529506822.0,0.001,0.02,0.5067,0.4230247459057819
70.0,45126.0,2960000,Random,0.02,1529506931.0,0.001,0.02,0.4953,0.4232689190615056
70.0,45226.0,2970000,Random,0.02,1529507047.0,0.001,0.02,0.517,0.42358451192661833
72.0,45348.0,2980000,Random,0.02,1529507163.0,0.001,0.02,0.5022,0.4238483222892807
72.0,45476.0,2990000,Random,0.02,1529507278.0,0.001,0.02,0.5034,0.42411438141205904
72.0,45589.0,3000000,Random,0.02,1529507390.0,0.001,0.02,0.5004,0.4243686668073522
72.0,45691.0,3010000,Random,0.02,1529507502.0,0.001,0.02,0.4924,0.4245946845256002
72.0,45810.0,3020000,Random,0.02,1529507616.0,0.001,0.02,0.491,0.42481456967617764
72.0,45930.0,3030000,Random,0.02,1529507723.0,0.001,0.02,0.5071,0.425086138753154
72.0,46042.0,3040000,Random,0.02,1529507833.0,0.001,0.02,0.489,0.4252963817177818
72.0,46180.0,3050000,Random,0.02,1529507944.0,0.001,0.02,0.5008,0.4255439345646087
72.0,46302.0,3060000,Random,0.02,1529508056.0,0.001,0.02,0.4827,0.42573071909217536
72.0,46418.0,3070000,Random,0.02,1529508167.0,0.001,0.02,0.5077,0.42599772000718455
72.0,46531.0,3080000,Random,0.02,1529508279.0,0.001,0.02,0.5005,0.4262396105266417
72.0,46649.0,3090000,Random,0.02,1529508391.0,0.001,0.02,0.4955,0.4264637541818953
72.0,46776.0,3100000,Random,0.02,1529508503.0,0.001,0.02,0.4923,0.42667612916840536
72.0,46919.0,3110000,Random,0.02,1529508612.0,0.001,0.02,0.5031,0.426921865087478
73.0,47033.0,3120000,Random,0.02,1529508730.0,0.001,0.02,0.5036,0.4271676283404027
74.0,47148.0,3130000,Random,0.02,1529508849.0,0.001,0.02,0.5016,0.4274054314447465
74.0,47267.0,3140000,Random,0.02,1529508964.0,0.001,0.02,0.5032,0.4276468154210371
74.0,47382.0,3150000,Random,0.02,1529509083.0,0.001,0.02,0.4991,0.427873650927637
74.0,47495.0,3160000,Random,0.02,1529509203.0,0.001,0.02,0.5054,0.42811898747533433
74.0,47640.0,3170000,Random,0.02,1529509321.0,0.001,0.02,0.5032,0.428355836095286
75.0,47771.0,3180000,Random,0.02,1529509443.0,0.001,0.02,0.5077,0.4286053460446719
75.0,47875.0,3190000,Random,0.02,1529509564.0,0.001,0.02,0.4988,0.4288253919818359
75.0,48000.0,3200000,Random,0.02,1529509685.0,0.001,0.02,0.4957,0.4290343751318927
75.0,48124.0,3210000,Random,0.02,1529509804.0,0.001,0.02,0.4988,0.42925171352712044
75.0,48235.0,3220000,Random,0.02,1529509922.0,0.001,0.02,0.4958,0.4294583852242412
75.0,48357.0,3230000,Random,0.02,1529510043.0,0.001,0.02,0.5113,0.42971176483655
75.0,48513.0,3240000,Random,0.02,1529510165.0,0.001,0.02,0.4959,0.4299160495129804
75.0,48637.0,3250000,Random,0.02,1529510285.0,0.001,0.02,0.4909,0.43010369243755586
75.0,48756.0,3260000,Random,0.02,1529510405.0,0.001,0.02,0.4931,0.4302969326448026
