Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
97.0,29238.0,4680000.0,Regression,0.01,29168
98.0,29264.0,4690000.0,Regression,0.01,29168
99.0,29297.0,4700000.0,Regression,0.01,29168
99.0,29317.0,4710000.0,Regression,0.01,29168
99.0,29335.0,4720000.0,Regression,0.01,29168
101.0,29353.0,4730000.0,Regression,0.01,29168
101.0,29373.0,4740000.0,Regression,0.01,29168
101.0,29392.0,4750000.0,Regression,0.01,29168
101.0,29412.0,4760000.0,Regression,0.01,29168
101.0,29428.0,4770000.0,Regression,0.01,29168
102.0,29444.0,4780000.0,Regression,0.01,29168
102.0,29471.0,4790000.0,Regression,0.01,29168
102.0,29498.0,4800000.0,Regression,0.01,29168
102.0,29512.0,4810000.0,Regression,0.01,29168
102.0,29533.0,4820000.0,Regression,0.01,29168
102.0,29554.0,4830000.0,Regression,0.01,29168
102.0,29571.0,4840000.0,Regression,0.01,29168
102.0,29590.0,4850000.0,Regression,0.01,29168
103.0,29622.0,4860000.0,Regression,0.01,29168
103.0,29643.0,4870000.0,Regression,0.01,29168
103.0,29665.0,4880000.0,Regression,0.01,29168
104.0,29688.0,4890000.0,Regression,0.01,29168
104.0,29716.0,4900000.0,Regression,0.01,29168
104.0,29734.0,4910000.0,Regression,0.01,29168
105.0,29761.0,4920000.0,Regression,0.01,29168
105.0,29781.0,4930000.0,Regression,0.01,29168
105.0,29805.0,4940000.0,Regression,0.01,29168
105.0,29826.0,4950000.0,Regression,0.01,29168
105.0,29846.0,4960000.0,Regression,0.01,29168
105.0,29871.0,4970000.0,Regression,0.01,29168
105.0,29894.0,4980000.0,Regression,0.01,29168
105.0,29913.0,4990000.0,Regression,0.01,29168
105.0,29935.0,5000000.0,Regression,0.01,29168
105.0,29972.0,5010000.0,Regression,0.01,29168
107.0,29993.0,5020000.0,Regression,0.01,29168
107.0,30011.0,5030000.0,Regression,0.01,29168
107.0,30028.0,5040000.0,Regression,0.01,29168
107.0,30044.0,5050000.0,Regression,0.01,29168
107.0,30075.0,5060000.0,Regression,0.01,29168
108.0,30106.0,5070000.0,Regression,0.01,29168
108.0,30131.0,5080000.0,Regression,0.01,29168
108.0,30144.0,5090000.0,Regression,0.01,29168
108.0,30168.0,5100000.0,Regression,0.01,29168
108.0,30195.0,5110000.0,Regression,0.01,29168
109.0,30225.0,5120000.0,Regression,0.01,29168
109.0,30250.0,5130000.0,Regression,0.01,29168
110.0,30276.0,5140000.0,Regression,0.01,29168
111.0,30296.0,5150000.0,Regression,0.01,29168
111.0,30316.0,5160000.0,Regression,0.01,29168
112.0,30345.0,5170000.0,Regression,0.01,29168
112.0,30372.0,5180000.0,Regression,0.01,29168
112.0,30393.0,5190000.0,Regression,0.01,29168
112.0,30423.0,5200000.0,Regression,0.01,29168
112.0,30448.0,5210000.0,Regression,0.01,29168
112.0,30468.0,5220000.0,Regression,0.01,29168
112.0,30486.0,5230000.0,Regression,0.01,29168
112.0,30497.0,5240000.0,Regression,0.01,29168
112.0,30522.0,5250000.0,Regression,0.01,29168
112.0,30547.0,5260000.0,Regression,0.01,29168
112.0,30565.0,5270000.0,Regression,0.01,29168
113.0,30590.0,5280000.0,Regression,0.01,29168
114.0,30603.0,5290000.0,Regression,0.01,29168
114.0,30625.0,5300000.0,Regression,0.01,29168
114.0,30641.0,5310000.0,Regression,0.01,29168
114.0,30661.0,5320000.0,Regression,0.01,29168
114.0,30673.0,5330000.0,Regression,0.01,29168
114.0,30692.0,5340000.0,Regression,0.01,29168
114.0,30711.0,5350000.0,Regression,0.01,29168
114.0,30730.0,5360000.0,Regression,0.01,29168
115.0,30749.0,5370000.0,Regression,0.01,29168
115.0,30763.0,5380000.0,Regression,0.01,29168
115.0,30780.0,5390000.0,Regression,0.01,29168
115.0,30790.0,5400000.0,Regression,0.01,29168
116.0,30813.0,5410000.0,Regression,0.01,29168
116.0,30830.0,5420000.0,Regression,0.01,29168
116.0,30847.0,5430000.0,Regression,0.01,29168
116.0,30872.0,5440000.0,Regression,0.01,29168
117.0,30898.0,5450000.0,Regression,0.01,29168
117.0,30926.0,5460000.0,Regression,0.01,29168
117.0,30947.0,5470000.0,Regression,0.01,29168
117.0,30982.0,5480000.0,Regression,0.01,29168
117.0,31009.0,5490000.0,Regression,0.01,29168
118.0,31042.0,5500000.0,Regression,0.01,29168
118.0,31080.0,5510000.0,Regression,0.01,29168
118.0,31111.0,5520000.0,Regression,0.01,29168
118.0,31152.0,5530000.0,Regression,0.01,29168
118.0,31182.0,5540000.0,Regression,0.01,29168
118.0,31210.0,5550000.0,Regression,0.01,29168
119.0,31235.0,5560000.0,Regression,0.01,29168
119.0,31256.0,5570000.0,Regression,0.01,29168
119.0,31274.0,5580000.0,Regression,0.01,29168
119.0,31290.0,5590000.0,Regression,0.01,29168
119.0,31316.0,5600000.0,Regression,0.01,29168
120.0,31345.0,5610000.0,Regression,0.01,29168
120.0,31364.0,5620000.0,Regression,0.01,29168
120.0,31382.0,5630000.0,Regression,0.01,29168
120.0,31407.0,5640000.0,Regression,0.01,29168
121.0,31441.0,5650000.0,Regression,0.01,29168
121.0,31481.0,5660000.0,Regression,0.01,29168
121.0,31524.0,5670000.0,Regression,0.01,29168
121.0,31554.0,5680000.0,Regression,0.01,29168
121.0,31580.0,5690000.0,Regression,0.01,29168
121.0,31606.0,5700000.0,Regression,0.01,29168
122.0,31648.0,5710000.0,Regression,0.01,29168
123.0,31676.0,5720000.0,Regression,0.01,29168
123.0,31716.0,5730000.0,Regression,0.01,29168
123.0,31745.0,5740000.0,Regression,0.01,29168
123.0,31780.0,5750000.0,Regression,0.01,29168
124.0,31830.0,5760000.0,Regression,0.01,29168
124.0,31865.0,5770000.0,Regression,0.01,29168
