Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
80.0,31525.0,2080000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498182.0,0.01
81.0,31654.0,2090000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498282.0,0.01
82.0,31793.0,2100000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498384.0,0.01
83.0,31957.0,2110000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498486.0,0.01
83.0,32118.0,2120000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498586.0,0.01
84.0,32242.0,2130000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498688.0,0.01
84.0,32354.0,2140000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498786.0,0.01
84.0,32477.0,2150000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498886.0,0.01
85.0,32583.0,2160000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498982.0,0.01
87.0,32698.0,2170000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499077.0,0.01
87.0,32791.0,2180000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499170.0,0.01
87.0,32897.0,2190000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499265.0,0.01
87.0,32998.0,2200000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499357.0,0.01
87.0,33111.0,2210000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499453.0,0.01
88.0,33228.0,2220000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499550.0,0.01
88.0,33350.0,2230000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499644.0,0.01
90.0,33454.0,2240000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499740.0,0.01
91.0,33569.0,2250000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499837.0,0.01
91.0,33739.0,2260000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529499935.0,0.01
91.0,33890.0,2270000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500037.0,0.01
91.0,34038.0,2280000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500139.0,0.01
91.0,34161.0,2290000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500240.0,0.01
91.0,34286.0,2300000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500341.0,0.01
91.0,34416.0,2310000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500444.0,0.01
91.0,34551.0,2320000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500548.0,0.01
91.0,34685.0,2330000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500653.0,0.01
91.0,34810.0,2340000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500754.0,0.01
92.0,34958.0,2350000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500855.0,0.01
93.0,35108.0,2360000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529500958.0,0.01
94.0,35240.0,2370000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501064.0,0.01
94.0,35379.0,2380000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501171.0,0.01
94.0,35511.0,2390000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501276.0,0.01
94.0,35662.0,2400000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501383.0,0.01
94.0,35805.0,2410000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501489.0,0.01
94.0,35940.0,2420000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501593.0,0.01
96.0,36076.0,2430000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501694.0,0.01
96.0,36202.0,2440000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501795.0,0.01
96.0,36327.0,2450000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529501896.0,0.01
96.0,36459.0,2460000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502003.0,0.01
96.0,36565.0,2470000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502109.0,0.01
97.0,36678.0,2480000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502218.0,0.01
98.0,36807.0,2490000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502326.0,0.01
98.0,36942.0,2500000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502432.0,0.01
98.0,37070.0,2510000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502542.0,0.01
98.0,37203.0,2520000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502648.0,0.01
99.0,37337.0,2530000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502758.0,0.01
99.0,37477.0,2540000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502867.0,0.01
99.0,37618.0,2550000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529502966.0,0.01
100.0,37750.0,2560000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503060.0,0.01
100.0,37874.0,2570000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503154.0,0.01
102.0,37998.0,2580000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503249.0,0.01
103.0,38123.0,2590000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503347.0,0.01
103.0,38231.0,2600000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503444.0,0.01
104.0,38343.0,2610000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503539.0,0.01
104.0,38477.0,2620000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503635.0,0.01
104.0,38611.0,2630000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503729.0,0.01
104.0,38746.0,2640000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503826.0,0.01
105.0,38896.0,2650000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529503917.0,0.01
106.0,39068.0,2660000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504012.0,0.01
106.0,39198.0,2670000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504104.0,0.01
107.0,39334.0,2680000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504198.0,0.01
107.0,39488.0,2690000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504289.0,0.01
107.0,39633.0,2700000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504380.0,0.01
107.0,39793.0,2710000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504474.0,0.01
