Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
Global,5314011,1534348800000,-56802,71446,64886,22721,8110,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,5726250,1534363199000,0,0,7553,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,5726250,1534363199000,-56802,33816,59021,11348,-3119,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,5979990,1534384801000,0,33816,59021,11348,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,5979990,1534384801000,-56802,33816,59021,11348,-3119,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,6734652,1534406401000,0,0,0,1707,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,6734652,1534406401000,-56802,-15353,-18491,1707,-3119,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,7863533,1534428001000,-56802,-88061,-69444,-32170,-3119,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,8560378,1534449599000,-56802,-132154,-99593,-63686,-3119,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,919597,1534230000000,105663,298575,119188,101103,121030,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,919597,1534230000000,105663,298575,119188,101103,121030,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,2159970,1534251600000,0,259769,113969,91995,97438,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,2159970,1534251600000,-32229,259769,113969,91995,97438,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,2912107,1534273200000,0,216452,106150,76218,76306,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,2912107,1534273200000,-44127,216452,106150,76218,76306,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
