Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
Daily,3176462,1534283997000,0,24200,13283,2073,16657,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,3176462,1534283997000,-10550,72600,39849,6219,49973,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,3361164,1534305600000,0,36300,19924,3109,24986,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,3361164,1534305600000,-10550,72600,39849,6219,49973,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,4267029,1534327200000,0,0,11,523,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,4267029,1534327200000,-14410,-39582,23,1047,-22495,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,5314011,1534348800000,-54875,-127707,-32384,-8647,-65864,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,5726250,1534363199000,-66070,-175572,-45637,-17848,-77048,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,5979990,1534384801000,-66070,-175572,-45637,-17848,-77048,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,6734652,1534406401000,-116316,-241250,-77354,-35020,-80799,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,7863533,1534428001000,-161468,-346652,-103603,-60630,-101978,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,8560378,1534449599000,-189445,-408638,-122744,-80252,-120697,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,356003,1534208400000,31489,88035,36065,28837,34809,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,919597,1534230000000,27663,74347,30574,26790,31697,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,919597,1534230000000,82991,223043,91722,80370,95092,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,2159970,1534251600000,0,61506,29272,23019,22484,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,2159970,1534251600000,-45788,184520,87816,69058,67453,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,2912107,1534273200000,0,38969,21326,16021,21750,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,2912107,1534273200000,-45788,116907,63980,48063,65250,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,3176462,1534283997000,0,38969,20900,15965,12928,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,3176462,1534283997000,-45788,116907,62700,47895,38785,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,3361164,1534305600000,0,58453,31350,23947,19392,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,3361164,1534305600000,-45788,116907,62700,47895,38785,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,4267029,1534327200000,0,0,21586,15418,6459,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,4267029,1534327200000,-45788,-13619,43173,30836,12918,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,5314011,1534348800000,0,0,0,0,6459,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,5314011,1534348800000,-45788,-13619,-56283,-26553,12918,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,5726250,1534363199000,-45788,-13619,-56283,-26553,-48096,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,5979990,1534384801000,-45788,-13619,-56283,-26553,-48096,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,6734652,1534406401000,-114468,-30998,-60746,-33063,-54557,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Total,7863533,1534428001000,-174222,-88559,-68640,-44936,-71194,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
